Imputation,Hyperparameter,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,std_test_roc_auc,mean_test_roc_auc
mice,100,0.01,0.1,3.0,200.0,0.7735328546134174,0.004378820205273751,0.7713592849772988,0.006311490957716721,0.7777046151427,0.011383399567540437,0.7744452709851884,0.005212331839036258,0.003797548859751646,0.8561164971819328
mice,200,0.1,0.1,6.0,100.0,0.7776996852252607,0.008403388566991077,0.7774218557413725,0.011320011923754088,0.7784240113216447,0.00684357969084124,0.7778844578851791,0.007595794077882604,0.006516182691066871,0.8584929392122478
mean,0,0.01,0.1,6.0,100.0,0.7815022296544036,0.009326665981922517,0.7830561091527898,0.0072783733521695985,0.7787948476033231,0.019215350469485155,0.7808075255420236,0.011063025319368768,0.009168962731927226,0.8641552476457868
knn,3,0.01,0.1,3.0,300.0,0.763578431372549,0.006712512895613176,0.7594393782746811,0.004622974953379765,0.7715399533506303,0.015294307969794555,0.7653742654163385,0.00861386536239428,0.006494467343280258,0.8440727808695044
knn,5,0.1,0.1,3.0,300.0,0.7682816906026624,0.014045427535704183,0.7639362096103532,0.014103077591760832,0.7766183138087376,0.015626824260797305,0.7701894474049009,0.013931166522450631,0.011168922885099932,0.8522034059889101
knn,10,0.01,0.1,3.0,300.0,0.7746191553544495,0.00498765449899228,0.7707663775880096,0.007120228904882595,0.7820478549152187,0.017710700532901445,0.7761973862320894,0.007174364972005295,0.0034238331282680006,0.8576001307337002
knn,15,0.01,0.1,3.0,300.0,0.7751623057249656,0.007960562491300989,0.7703897205031016,0.009728937863085655,0.7842047330764997,0.013377693498975515,0.7771490872176138,0.008332266098937028,0.010204794438357366,0.8586847573032547
knn,20,0.01,0.1,6.0,100.0,0.7659282575906616,0.01232798074781013,0.7706203931061318,0.013798457959708344,0.7574252430746652,0.0144690146656604,0.7639099052042141,0.012546849221203773,0.00864222575085697,0.8520396719522279
mice,20,0.01,0.1,6.0,100.0,0.7767909371106301,0.010402496807340306,0.7764536827139044,0.011394493495661585,0.7777072358938073,0.02129600084068863,0.7768915754580322,0.012007201465581421,0.010476076327494078,0.8573206634735284
mice,50,0.01,0.1,6.0,100.0,0.7854828185454783,0.006804991566305155,0.7907202760143512,0.00507711574495509,0.7766196241842912,0.020319804192013433,0.783438521165432,0.009570813941144653,0.01183556166342143,0.8639313941959099
mice,100,0.1,0.1,6.0,100.0,0.779146173519575,0.010304817087928915,0.7891481433135745,0.01407555178418643,0.762126215373326,0.009126523642313908,0.7753477511591125,0.009786624759332743,0.006794644362886356,0.8589831573536948
mice,200,0.1,0.1,3.0,200.0,0.7744373401534527,0.005708631923223435,0.7737599261009505,0.0057102470311235975,0.775879917184265,0.019414826963714864,0.7746500489964621,0.008458136049149124,0.014207009593072794,0.8585946820402205
mean,0,0.01,0.1,3.0,200.0,0.7896414672310377,0.011829697135309838,0.7853371554473557,0.012621558631424577,0.797579867389994,0.021889807575974324,0.791224414452965,0.012931655039778013,0.013178707722322503,0.8701791373228243
knn,3,0.1,0.1,3.0,200.0,0.7677829545226584,0.016162497590010993,0.7619364259677218,0.01483954138394,0.7792204139039581,0.028260364971172694,0.7702578540950523,0.018104124055756447,0.01702335278531313,0.8479279813725416
knn,5,0.1,0.1,3.0,300.0,0.7666675861100525,0.020648008342693924,0.7628200208129616,0.025620198156820925,0.7754329917621057,0.018567897116395043,0.7688525220518242,0.01832193802853376,0.012778331686247786,0.8520802908569293
knn,10,0.1,0.1,3.0,200.0,0.7769634295572629,0.012925906775952295,0.7709872886871791,0.01533397976937779,0.7887090616837452,0.02366756066197364,0.7794845523165288,0.013752272343467762,0.010847255299535556,0.8606354960667171
knn,15,0.1,0.1,6.0,100.0,0.7790259082428935,0.013854740725242664,0.7774473906481953,0.01306830116649142,0.7820745428973277,0.020914825369798804,0.7796451239802118,0.014783063564836942,0.014294354384576213,0.8589777056739484
knn,20,0.1,0.1,3.0,300.0,0.7766452185600514,0.01609349517409239,0.7738212292697786,0.014665826014942788,0.7823558368495077,0.03513748841909829,0.7776167978583015,0.01932193546197638,0.013118268916798494,0.8617883053183887
mice,20,0.01,0.1,3.0,300.0,0.7831400830508135,0.014192002002021488,0.781112805351812,0.0172604377908376,0.7874522804902552,0.019224943302668548,0.7840862109254718,0.013814756084845546,0.008068624591974464,0.8662733224732504
mice,50,0.1,0.1,3.0,200.0,0.7739530883267467,0.018332230959233923,0.7731175747754725,0.019611772001207128,0.7760427968655816,0.023501575158804012,0.7744061337882145,0.01837343641288716,0.013278895667310064,0.8572278461937571
mice,100,0.1,0.1,3.0,300.0,0.7788636682782002,0.02265272490041805,0.7780794852433004,0.02128426619872383,0.7805033152501506,0.03218249814147325,0.7790800166011607,0.0241746808675142,0.020801492377677505,0.8641860978221338
mice,200,0.1,0.1,6.0,100.0,0.7821894621757709,0.016712849603923018,0.7860662818336424,0.0217899185978268,0.7763703033956199,0.01595921387446189,0.7810197339520554,0.01522311361059542,0.01169322134131241,0.8616230610173888
